Wallet,UMAP_X,UMAP_Y,UMAP_Z
25n1114k4bdAsvWMZW8oZE18DLL1gUriYNT5DAWT9kvy,-3.824093,2.0474544,7.0232105
5UotSPaU5SRhpxn9wmCzCqFqquQ7z13W3txECCc5Qy9o,-3.8902707,1.9927355,6.954937
EHcege7dok1iYs7SxL2XzDPvhg6XzMVcx2V5SkMUurJP,-4.1786156,1.1358145,6.920186
8JGwcQiyuyJfLKSDviJfkshE53RKNQb7bnnABTgDXNk8,-4.188611,1.1264619,6.9149966
4QU2NpRaqmKMvPSwVKQDeW4V6JFEKJdkzbzdauumD9qN,-4.1820354,1.159731,6.923399
3XLkRVg69AgwKAbnSjJpm3PB4QgVeXFEjiXfw5shWMBT,-3.821936,1.3781247,6.755521
Fa3hCkKj6oG8WanGEmT3Z5EdS5DzW6XrUNddjPwedoTE,-3.2877238,-0.58193266,9.694685
DbU5anybx94BSucWiKKtPJoq4vgKUVzLdB6RVnx8ZHC9,-3.8090386,1.895334,6.7627773
JCRGumoE9Qi5BBgULTgdgTLjSgkCMSbF62ZZfGs84JeU,-3.9836342,1.8013628,7.045858
G7ZGapqsz7znctEKMxPTCV71wHnDyLe3uQ8tTtUCBcV,-4.0109186,1.720738,7.0433507
B5EwJVDuAauzUEEdwvbuXzbFFgEYnUqqS37TUM1c4PQA,-4.195317,1.1720641,6.91819
6a3m2EgFFKfsFuQtP4LJJXPcAe3TQYXNyHUjjZpUxYgd,-4.1499386,1.1817037,6.9390407
6FAgr8FZfsyqFY3qfAbJ9VJpV1od2gpUbRyCgEyYJyj5,-4.0864196,1.4372926,7.0208616
8ojSUW4SowqwqrPZdcHfvN3ZstHqzdtrSdCpnfhm8Zka,-3.9728904,1.8338972,6.88696
EbvHdZkL8n5R9qQipCzPzYybWXQZATMnyfSkqJHXw9gU,-4.1108484,1.6065377,6.975174
5KqohoeGjTjyHAFJJywK4J7fkFuK82PfMyuseGgLKZu2,-4.1833906,1.1557716,6.9260006
8eybKAvjKJryVweQLg8SRgwUfdP7wHYJ5yyqgfE82DQA,-4.0519114,1.3687961,7.1432033
Ds33rQ1d4AXwxqyeXX6Pc3G4pFNr6iWb3dd8YfBBQMPr,-4.037537,1.4082682,7.042105
CSRJSQ5daTA9sehZAboPQYAJqbptJgzQ2e7aGduWzQ8U,-4.08139,1.3186429,7.0697546
3PRwZGDBjTdBnW1mUxjSAj2YCUjWEjatr1q7SCpE2pkZ,-4.0643005,1.3167768,7.1422687
AVmoTthdrX6tKt4nDjco2D775W2YK3sDhxPcMmzUAmTY,-4.0147023,1.3894413,7.1760325
44W1QcPgR5TsvGDPFBXyqtvXmX63LNc8HnJZVSLUn4Tu,-4.039534,1.4764955,7.043302
J3xBS5dTCqoQKV8jNDazAff1BwjeNv5hFrxDDm3t9m3z,-3.939851,1.8037938,7.0860085
GxDC9e7SP9mzhDo4re5HbpLa2RW7gB9DtmThx4i4pXSq,-3.9456065,1.7984273,7.05156
62qc2CNXwrYqQScmEdiZFFAnJR262PxWEuNQtxfafNgV,-3.9557695,1.8598244,6.7824826
7TfSpLF1DWF8LDTfckYHasripT96QaAEw5GyoWWNH6de,-4.0760765,1.573525,6.882028
7hTckgnGnLQR6sdH7YkqFTAA7VwTfYFaZ6EhEsU3saCX,-4.059179,1.6823114,6.8723974
EZkh7ZHtqMEeiaWB6mQqRPEbkMwr52CSqCfrLykiKkvD,-3.992887,1.751689,6.9141707
4JPt4GajB94qgeG4mwSQtJ2gJyUsTcj7aTe3Fj7rxGDs,-3.9516618,1.9936864,6.8715415
A9vg7zFB4rSEQFeSU22pxTmD9MvpzjYGhRFS8DDRMor7,-4.127367,1.9514157,6.677971
9rPYyANsfQZw3DnDmKE3YCQF5E8oD89UXoHn9JFEhJUz,-4.006914,2.0218227,6.8291626
Esvfxt3jMDdtTZqLF1fqRhDjzM8Bpr7fZxJMrK69PB7e,-3.3148713,-0.53335136,9.6300125
83v8iPyZihDEjDdY8RdZddyZNyUtXngz69Lgo9Kt5d6d,-3.3108358,-0.5321211,9.626906
JB1jKxrpEJMfpRxdZAfybY8rBq6ExznNQGBQ4kKepU8w,-3.9431384,1.8919637,6.7780037
8GkTigh3Q6wuUJW8eKmzcj4QAwTFX19SBHC3yBLyhgvc,-3.9242191,1.9049265,6.8337164
DYnicQzNqWC985aSRfSJx7eAhnKf72wHEewpyAjkinxR,-3.9389312,1.880411,6.8786383
HC8EWBghd22xFPZJKciNeeHnD5KRt6WzFgaWd3nAheLR,-3.8893805,1.939882,6.7538753
6FvNotoTAEQpWzk2tmmX7v9iNCkLLpC6eAxtif6L5Xtu,-3.876869,1.9288625,6.849057
8FvcTGUkV4fcEBZULpUNptkSvru5mMyxnBMcLRVBiNvE,-3.9335568,1.9468436,6.7559123
H1gmncUJMmRzyqPT3VToh26eEM5338vF1UExnqU3oh6o,-3.9078536,1.9685689,6.8180985
GgpbdvMEuFfRg5CaHhPCau1KFVwzofSYmSQa5ySexs8s,-3.790261,1.649958,7.8617277
G5UZAVbAf46s7cKWoyKu8kYTip9DGTpbLZ2qa9Aq69dP,-3.930147,1.8119733,7.0557966
3KFCgJ5R3zshW8hTDbzjSrrKSRYmKvsMfhc4Vo4iddxD,-3.8006377,1.640889,7.809989
69GoaGkmfYh1GtZYRH5buUqSFGSCebTS1KAo1P6J3LAJ,-4.0081677,1.5599922,7.0733
7VtfL8fvgNfhz17qKRMjzQEXgbdpnHHHQRh54R9jP2RJ,-4.0079174,1.6882654,6.956749
4wsBbTM6ATSjGrmijztMRbV5uqyoHWMmyb4VEb4tHhqW,-3.9412818,1.9170338,6.8554764
7BTC7q5uPeiT9WYkqMWToMEsF6HkZUqzock8gcTeKMLB,-3.9982746,1.8908248,6.900577
CJVRaez468UTGdKTsHc4b6debh6hYtNPae62Dp1HNE7w,-3.9201589,2.013025,6.810191
DVxHQymgjYAF82MysneJwWJyoviJTAGx5ALKL2G7EYwU,-3.98237,1.8867719,6.8296113
FDSM25op1rufbdSDdfLEGWS5eFeRQaHsPkBYCAJ7Jo8b,-3.959337,1.8602782,6.782507
C4qEWoW4FyD8WrK6A65wouWtM3fEUfhXefgLtxR4SABN,-3.9732041,1.8809243,6.6980186
Mx574P3aiNB65EZH7TT4dzLHy8E8YyPwJCMrpagSNLP,-3.9334767,1.8739463,6.793322
4rJggoVMajEUtipev1XhSMjESYk8Zibz6CDHPtUe1mem,-4.282643,0.7121272,7.055671
8oKVwqA5S2B7g2Li6yqZ4KKghpER8G1vj3bbeg8dFkSw,-4.1535172,1.0904173,7.1226525
64x3ttqQGsBFsGZHRogx8CzWjBdCHVH8GDJKMVakxNB5,-4.108305,1.0942785,7.1480055
EKmcEiMEExCBEg9Aw7HethY8UGm5KjPgSdhJeK9bQh6j,-3.910224,1.9366976,6.9566565
5be4m839nE2j3QmunfvB1hVkZy6FCXBnCKteYUxPq7iV,-3.8222759,2.0815737,7.0452228
FERjPVNEa7Udq8CEv68h6tPL46Tq7ieE49HrE2wea3XT,-3.8582325,2.0841255,7.024496
ARu4n5mFdZogZAravu7CcizaojWnS6oqka37gdLT5SZn,-3.8355377,2.064419,7.0176067
8UEPfcG2Jz6Zzy63hDSStBBxygEZCmHCongdtTCPga3m,-3.8751955,1.9470693,6.839554
5vyB758PyCv1ATiMrsoJYvQx4rQbeoJV6wkQHjakCi3E,-3.8612638,1.7933972,7.025026
C1sfM8ifKRhMtNuAdsfPEnHPpiBNhfnrZBMQT5Lk3WNe,-3.833381,1.9574499,6.6943913
9mtzETb4qsWzX6ga9atp3isWW8wdnKuBCYxgEZAdrbs9,-3.870654,4.7998815,6.3470078
AfQ1oaudsGjvznX4JNEw671hi57JfWo4CWqhtkdgoVHU,-1.3080597,-3.3927796,1.9259714
2rbMgYvzAb3xDk6vXrzKkY3VwsmyDZsJTkvB3JJYsRzA,-1.347474,-3.3602324,1.9441657
3ni1dS76tmbbEtr4k1DghqUqCwqp3GMB5cL3hB1RkqmC,-1.9768955,1.580521,13.185155
242sQJWy52hx7QvsaoS5YBTwAsiwoBNk9di5HBCYTmuE,-2.1875942,1.1680872,13.632783
DchRhLW4rZ1SR7wYEuWTCF8QTZYQasHNnX3eJ2vx7TGu,3.9673219,-2.835797,7.013893
ZG98FUCjb8mJ824Gbs6RsgVmr1FhXb2oNiJHa2dwmPd,-1.3090518,-3.3672693,1.9943734
ECHqG1VfdgrkNL68WTDxc8hkSbHa59QfLwKb4mc1JQat,-2.091893,1.7865423,13.759573
H3GAqeVrVii4BgHZTsR9h9aig7CGVKnifD9pS2QB8nGC,-2.176131,1.4035137,13.465357
3nXptZtYqrzTV1UfPmjHKPSMaPw7L34os1D6vvveGZeg,2.8631167,-2.8473737,7.341379
9iwRHFTbMZm7KmmvKjADaN3h2LzMS9Ki5TuD4wQkmVfJ,-2.03429,1.8439602,13.916675
496dE3s91m8KFJ3zNnwJifxyai1PzGnQQf67aNMQQfHV,3.7022321,-3.1381042,6.7340255
9RGWkseo23rcVyahDbavW3gZCUDZyXc7hcdCXGEfJSzd,4.0912685,-1.9923068,7.4845304
71WDyyCsZwyEYDV91Qrb212rdg6woCHYQhFnmZUBxiJ6,4.1853375,-2.823675,7.5240636
9NBMqZJPFutJCfUZ3iqJ566jmjavB71rri36Ksrdego5,3.7232559,-2.71298,6.455461
85e9xsKYnJV5Cs9DwhEZZv9JbjmT9HG4Ro9FCYsbFdXo,-1.3070793,-3.3883512,1.9201083
F3AtKw2Zw3Tn5nampmchMQGTLLH7cK3W7bdxQiQXfgEv,-1.8682524,1.7262857,13.939869
5EWjDrcsj6assM9TNMmzfXB7RAF1aMTZywDJok1E1z3k,-1.9469023,1.7808386,13.876757
9tbYca2o4vAaNeL23QNHervbsBE6hKQ3tH13eDvm4t85,2.828045,-2.93959,7.3590093
8WrZRVRo7qeP2qALNmv7EX1wXtJ3fTd9unVUNwKCnE5M,-1.8980743,1.7590913,13.776504
BHoxDahBd1jFz5TjAfo69JUfA48iEaLtBjHbgKYDEa7e,-2.0563576,1.8137577,13.838095
4e3Y9Wm3t3tfw3u34HPmTN3igqWsUsiLx4MJiC6AeQ3g,3.652845,-2.513009,6.596129
D1UcFeSD3cMdw5K5md9fgcMPkHqFagaks2VhRiTCMPxZ,-2.1164005,1.6790779,13.662773
5jqcWAf1eqqKS4FqLqRkoksfwQWnVtY7KjNW9Pyxsadm,4.1654863,-3.1321526,7.037347
DS38Yo3iYpiTS1y3iCw6uky5g8t2MZTGVhNbfJaeUjn8,4.043501,-3.28867,6.7965484
489etLzA7egiPbNqad7GdwvCsyqVLwtMfKat9cU7DmRb,3.6668549,-2.6330645,6.655174
DCF7mg1fqhnnc65mqT5spjVwBs2actRoGNn1EsraG58j,3.691075,-3.1090612,7.3065453
FHddLwfkHKVjqgrx9R3p1SjGVkfXpQJoiMS2dEfSJ7bV,-2.1011062,1.7688212,13.733156
4in7V7VH9KrNV2kPgEXKZXbVe5SbZfdHPftBzYowBUkE,3.311463,-2.461664,6.0805054
CPgmAhQ5QgBJFDvkzCdf1R9Gqm2YcTFAjASs58buEAvo,-2.0143223,1.8781312,13.891402
2fuEh1o8uGQfywQUGJn9wUx1LMzged7im5JK1jCDnotQ,-2.1305346,1.3402157,13.69164
3BEHXoPo5C6q1H5FcmXJoXA84126G66F2fNMvqDhWfZu,-2.1260853,1.3031913,13.606812
Bgstggh8k1Wen6AriraWMjN6se7ouY6tftdLGrYsg2Ub,-2.1698647,1.1179731,13.639469
